website,manufacturer,width,profile,rim,tyre_pattern,tyre_size,price,fuel,wetgrip,noise_reduction,winter,all_season,run_flat,extra_laod
http://national.co.uk/,rovelo,205,55,16,RHP-780P,205/55 R16 91V,50.71,D,C,False,False,False,True,False
http://national.co.uk/,autogreen,205,55,16,Sport Chaser SC2,205/55 R16 91W,51.79,D,A,False,False,False,True,False
http://national.co.uk/,sailun,205,55,16,Atrezzo Elite,205/55 R16 91V,56.72,C,B,False,False,False,True,False
http://national.co.uk/,sailun,205,55,16,Atrezzo Elite,205/55 R16 91W,58.72,C,B,False,False,False,True,False
http://national.co.uk/,avon,205,55,16,ZV7,205/55 R16 91V,59.96,D,A,False,False,False,True,False
http://national.co.uk/,pirelli,205,55,16,Cinturato P7,205/55 R16 91V,67.99,C,B,False,False,False,True,False
http://national.co.uk/,bridgestone,205,55,16,Turanza T005,205/55 R16 91V,69.32,B,A,False,False,False,True,False
http://national.co.uk/,bridgestone,205,55,16,Turanza T005,205/55 R16 91W,71.41,B,A,False,False,False,True,False
http://national.co.uk/,dunlop,205,55,16,SP Sport BluResponse,205/55 R16 91V,72.13,B,A,False,False,False,True,False
http://national.co.uk/,goodyear,205,55,16,EfficientGrip Performance 2,205/55 R16 91V,72.62,B,A,False,False,False,True,False
http://national.co.uk/,bridgestone,205,55,16,Turanza T005 DriveGuard,205/55 R16 94W,77.58,C,A,False,False,False,True,True
http://national.co.uk/,continental,205,55,16,ContiEcoContact 6,205/55 R16 91V,80.3,A,A,False,False,False,True,False
http://national.co.uk/,michelin,205,55,16,Primacy 4,205/55 R16 91V,87.97,C,A,False,False,False,True,False
http://national.co.uk/,uniroyal,205,55,16,RainSport 5,205/55 R16 91H,62.12,C,A,False,False,False,True,False
http://national.co.uk/,uniroyal,205,55,16,RainSport 5,205/55 R16 91V,62.29,C,A,False,False,False,True,False
http://national.co.uk/,yokohama,205,55,16,BluEarth ES32,205/55 R16 91V,63.06,C,B,False,False,False,True,False
http://national.co.uk/,avon,205,55,16,AS7,205/55 R16 91V,64.22,D,B,False,False,True,True,False
http://national.co.uk/,avon,205,55,16,ZV7,205/55 R16 94V,65.21,D,A,False,False,False,True,True
http://national.co.uk/,avon,205,55,16,AS7,205/55 R16 94V,65.72,C,B,False,False,True,True,True
http://national.co.uk/,yokohama,205,55,16,Advan Sport V103,205/55 R16 91V,66.21,D,B,False,False,False,True,False
http://national.co.uk/,uniroyal,205,55,16,RainSport 5,205/55 R16 91W,66.62,C,A,False,False,False,True,False
http://national.co.uk/,yokohama,205,55,16,Advan Sport V105,205/55 R16 91V,67.54,C,B,False,False,False,True,False
http://national.co.uk/,yokohama,205,55,16,BluEarth-4S AW21,205/55 R16 91V,67.8,D,B,False,False,True,True,False
http://national.co.uk/,yokohama,205,55,16,BluEarth AE51,205/55 R16 91W,68.14,B,A,False,False,False,True,False
http://national.co.uk/,yokohama,205,55,16,C.Drive AC02,205/55 R16 91H,68.21,C,C,False,False,False,True,False
http://national.co.uk/,yokohama,205,55,16,Advan Sport V105,205/55 R16 91W,69.72,C,B,False,False,False,True,False
http://national.co.uk/,yokohama,205,55,16,Advan Fleva V701,205/55 R16 91W,71.2,C,A,False,False,False,True,False
http://national.co.uk/,avon,205,55,16,WV7 Snow,205/55 R16 94V,72.36,D,B,False,True,False,True,True
http://national.co.uk/,yokohama,205,55,16,BluEarth-4S AW21,205/55 R16 94V,79.96,D,B,False,False,True,True,True
http://national.co.uk/,yokohama,205,55,16,Advan Sport V103,205/55 R16 91W,80.83,D,C,False,False,False,True,False
http://national.co.uk/,yokohama,205,55,16,A008P,205/55 R16 91W,148.16,D,B,False,False,False,True,False
http://national.co.uk/,pirelli,205,55,16,Cinturato P7 P7C2,205/55 R16 91V,67.99,C,A,False,False,False,True,False
http://national.co.uk/,bridgestone,205,55,16,Turanza T005,205/55 R16 91W,71.36,C,B,False,False,False,True,False
http://national.co.uk/,dunlop,205,55,16,SP Sport BluResponse,205/55 R16 91H,71.53,B,A,False,False,False,True,False
http://national.co.uk/,dunlop,205,55,16,SP Sport BluResponse,205/55 R16 91V,72.13,B,B,False,False,False,True,False
http://national.co.uk/,bridgestone,205,55,16,Turanza ER300,205/55 R16 91V,72.24,D,B,False,False,False,True,False
http://national.co.uk/,goodyear,205,55,16,EfficientGrip,205/55 R16 91V,72.62,C,B,False,False,False,True,False
http://national.co.uk/,goodyear,205,55,16,EfficientGrip Performance,205/55 R16 91H,73.19,A,C,False,False,False,True,False
http://national.co.uk/,goodyear,205,55,16,EfficientGrip Performance 2,205/55 R16 91H,73.19,B,A,False,False,False,True,False
http://national.co.uk/,dunlop,205,55,16,SP Sport BluResponse,205/55 R16 91W,73.33,B,A,False,False,False,True,False
http://national.co.uk/,dunlop,205,55,16,Sport Maxx RT,205/55 R16 91Y,73.33,C,B,False,False,False,True,False
http://national.co.uk/,bridgestone,205,55,16,Turanza T001,205/55 R16 91Q,73.46,A,B,False,False,False,True,False
http://national.co.uk/,goodyear,205,55,16,EfficientGrip Performance 2,205/55 R16 91W,73.83,B,A,False,False,False,True,False
http://national.co.uk/,bridgestone,205,55,16,Turanza ER300,205/55 R16 91H,74.37,D,B,False,False,False,True,False
http://national.co.uk/,dunlop,205,55,16,Sport Maxx RT,205/55 R16 91W,74.88,C,B,False,False,False,True,False
http://national.co.uk/,goodyear,205,55,16,EfficientGrip Performance,205/55 R16 91W,75.38,C,B,False,False,False,True,False
